Date,Cases
14/09/22,44516479
15/09/22,44522777
16/09/22,44528524
17/09/22,44534188
18/09/22,44539046
19/09/22,44543089
20/09/22,44545011
21/09/22,44553042
22/09/22,44558425
23/09/22,44563337
24/09/22,44568114
25/09/22,44572243
26/09/22,44575473
27/09/22,44579088
28/09/22,44583360
29/09/22,44587307
30/09/22,44591112
01/10/22,44594487
02/10/22,44597498
03/10/22,44599466
04/10/22,44601892
05/10/22,44604463
06/10/22,44606460
07/10/22,44609257
08/10/22,44612013
09/10/22,44614437
10/10/22,44616394
11/10/22,44616235
12/10/22,44621319
13/10/22,44623997
14/10/22,44626427
15/10/22,44628828
16/10/22,44630888
17/10/22,44632430
18/10/22,44634376
19/10/22,44636517
20/10/22,44638636
21/10/22,44640748
22/10/22,44642742
23/10/22,44644076
24/10/22,44644938
25/10/22,44645768
26/10/22,44646880
27/10/22,44649088
28/10/22,44650662
29/10/22,44652256
30/10/22,44653592
31/10/22,44654638
01/11/22,44655828
02/11/22,44655926
03/11/22,44658365
04/11/22,44659447
05/11/22,44660579
06/11/22,44661504
07/11/22,44660293
08/11/22,44660293
09/11/22,44660293
10/11/22,44664810
11/11/22,44665643
12/11/22,44666372
13/11/22,44666924
14/11/22,44667390
15/11/22,44667900
16/11/22,44668535
17/11/22,44667967
18/11/22,44669748
19/11/22,44670240
20/11/22,44670646
21/11/22,44670940
22/11/22,44671300
23/11/22,44671708
24/11/22,44672048
25/11/22,44672442
26/11/22,44672787
27/11/22,44673078
28/11/22,44673293
29/11/22,44673567
30/11/22,44673863
01/12/22,44674138
02/12/22,44674390
03/12/22,44674616
04/12/22,44674842
05/12/22,44675006
06/12/22,44675172
07/12/22,44675413
08/12/22,44675662
09/12/22,44675872
10/12/22,44676045
11/12/22,44676045
12/12/22,44676318
13/12/22,44676470
14/12/22,44676670
15/12/22,44676832
16/12/22,44676999
17/12/22,44677175
18/12/22,44677310
19/12/22,44677422
20/12/22,44677554
21/12/22,44677739
22/12/22,44677902
23/12/22,44678103
24/12/22,44678330
25/12/22,44678517
26/12/22,44678683
27/12/22,44678871
28/12/22,44679139
29/12/22,44679382
30/12/22,44679608
31/12/22,44679873
01/01/23,44680046
02/01/23,44680180
03/01/23,44680355
04/01/23,44680543
05/01/23,44680771
06/01/23,44680985
07/01/23,44681148
08/01/23,44681318
09/01/23,44681439
10/01/23,44681610
11/01/23,44681807
12/01/23,44681981
13/01/23,44682160
14/01/23,44682264
15/01/23,44682378
16/01/23,44682467
17/01/23,44682595
18/01/23,44682729
19/01/23,44682874
20/01/23,44683005
21/01/23,44683145
22/01/23,44683239
23/01/23,44683328
24/01/23,44683430
25/01/23,44683562
26/01/23,44683661
27/01/23,44683754
28/01/23,44683863
29/01/23,44683943
30/01/23,44684009
31/01/23,44684120
01/02/23,44684248
02/02/23,44684347
03/02/23,44684475
04/02/23,44684588
05/02/23,44684679
06/02/23,44684768
07/02/23,44684864
08/02/23,44684973
09/02/23,44685087
10/02/23,44683862
11/02/23,44685219
12/02/23,44685425
13/02/23,44685499
14/02/23,44685601
15/02/23,44685727
16/02/23,44685884
17/02/23,44686001
18/02/23,44686143
19/02/23,44686263
20/02/23,44686358
21/02/23,44686483
22/02/23,44686676
23/02/23,44686842
24/02/23,44687025
25/02/23,44687243
26/02/23,44687428
27/02/23,44687597
28/02/23,44687837
01/03/23,44688105
02/03/23,44688388
03/03/23,44688722
04/03/23,44689046
05/03/23,44689327
06/03/23,44689593
07/03/23,44689919
08/03/23,44690298
09/03/23,44690738
