Date,Cases
28/08/22,601260827
29/08/22,601837965
30/08/22,602585861
31/08/22,603339040
01/09/22,604018804
02/09/22,604676287
03/09/22,605052969
04/09/22,605423358
05/09/22,605881148
06/09/22,606554997
07/09/22,607171546
08/09/22,607755506
09/09/22,608281134
10/09/22,608594366
11/09/22,608908659
12/09/22,609393741
13/09/22,609942218
14/09/22,610640243
15/09/22,611251541
16/09/22,611707437
17/09/22,612002534
18/09/22,612257111
19/09/22,612673963
20/09/22,613227572
21/09/22,613745750
22/09/22,614365390
23/09/22,614883451
24/09/22,615148616
25/09/22,615371539
26/09/22,615794219
27/09/22,616393758
28/09/22,616943716
29/09/22,617587849
30/09/22,618060372
01/10/22,618301429
02/10/22,618502138
03/10/22,618822004
04/10/22,619422193
05/10/22,620005197
06/10/22,620645800
07/10/22,621221027
08/10/22,621440044
09/10/22,621658996
10/10/22,622112629
11/10/22,622802836
12/10/22,623353219
13/10/22,624016113
14/10/22,624494008
15/10/22,624712097
16/10/22,624904267
17/10/22,625380762
18/10/22,626009472
19/10/22,626536431
20/10/22,627131819
21/10/22,627563033
22/10/22,627745374
23/10/22,627906174
24/10/22,628292158
25/10/22,628887107
26/10/22,629354131
27/10/22,629825004
28/10/22,630188852
29/10/22,630387961
30/10/22,630555274
31/10/22,630855587
01/11/22,631257223
02/11/22,631605553
03/11/22,632099160
04/11/22,632543650
05/11/22,632744972
06/11/22,632931615
07/11/22,633236212
08/11/22,633687028
09/11/22,634121053
10/11/22,634581453
11/11/22,635069827
12/11/22,635312334
13/11/22,635495843
14/11/22,635842682
15/11/22,636346431
16/11/22,636832747
17/11/22,637312096
18/11/22,637942820
19/11/22,638190175
20/11/22,638412606
21/11/22,638754188
22/11/22,639328415
23/11/22,639919189
24/11/22,640339580
25/11/22,641037771
26/11/22,641308397
27/11/22,641571858
28/11/22,641977647
29/11/22,642708342
30/11/22,643244123
01/12/22,643950364
02/12/22,644711955
03/12/22,645011864
04/12/22,645269011
05/12/22,645774500
06/12/22,646399010
07/12/22,647032502
08/12/22,647841604
09/12/22,648512056
